날짜,제목,조회,공감,비공감
2023.04.29 15:25,유보율 5200% 부채 80%대  거래량 최대,416,6,0
2023.04.29 15:11,공매 폭락전 100억이면 대충해도 50억 이상은 공매로 땡긴건데.. 뉴스에도 선광 공매 나온만큼,359,7,0
2023.04.29 15:05,조만간 계좌 잠귈수도 있슴,453,1,10
2023.04.29 15:02,평단  4만 푸근하노,321,6,2
2023.04.29 14:51,예전,217,1,3
2023.04.29 14:48,평단,385,2,7
2023.04.29 14:33,선광이 하한가 직전에 공매도 제일 심하게 모았네,520,11,0
2023.04.29 14:25,형들 곡물이슈 요즘뜨거운데,342,3,2
2023.04.29 14:22,다우 익절 회장이 공매세력이다 아니면 작전세력이 털리는거 알고 공매 친거다,415,3,1
2023.04.29 14:21,성지글 하나 써준다 신규개미들 주목해라,502,1,9
2023.04.29 14:12,이런 저평가 우량주를 작전해야지,326,2,4
2023.04.29 14:01,공매 거의 안하다가 폭락전 공매 시작 한거 보면 백퍼지,456,10,1
2023.04.29 13:52,좋은 회사이고 회사가 잘못한거 없잔우.,451,9,2
2023.04.29 13:49,찬티것들 뇌가 우동사리냐? 하한가 2방 남았다,444,4,7
2023.04.29 13:44,공매가능 종목으로,522,3,3
2023.04.29 13:47,공매가능 종목으로,264,2,7
2023.04.29 13:43,[0141] 종목별 신용매매동향,279,1,0
2023.04.29 13:33,1년만에 왕대박 1년만에 왕 쪽박 풍운아,248,1,3
2023.04.29 13:30,여기 공매세력 백퍼 조사 받을껀데 숏커버는 했냐??,370,10,0
2023.04.29 13:22,또하나의 호재,392,7,1
2023.04.29 13:09,여기는 ,379,7,0
2023.04.29 12:59,담주부터 2단하락 시작,548,8,9
2023.04.29 12:55,우리나라 주식 주가조작 아닌거 있냐?,310,3,2
2023.04.29 12:50,선광 유동주식,540,11,2
2023.04.29 12:48,2020년 3월 코로나 코스닥 최저점과비교,413,6,2
2023.04.29 12:42,모든시선이   이차전지에서  하따목으로!!!!,419,9,1
2023.04.29 12:35,내주식 평단 13만짜리였다,491,9,2
2023.04.29 12:13,선광 설명,309,1,2
2023.04.29 12:10,혹시 물린분만 보세요 ★,450,1,1
2023.04.29 12:04,한방에  쪽박찬 임창정  진실인가?,470,5,0
2023.04.29 11:59,천국의계단 차트라고 했제,395,1,2
2023.04.29 11:54,★마지막★,466,1,3
2023.04.29 11:39,[기사] 선광 지분율과 유통주식수,453,2,1
2023.04.29 11:38,선광 피해자들 집단 대응 카페 생김 ,352,2,1
2023.04.29 11:34,주주배당금,439,3,0
2023.04.29 11:32,형님들 화요일 한번 시원하게 시가 하한가 ,594,4,8
2023.04.29 12:03,형님들 화요일 한번 시원하게 시가 하한가 ,171,3,1
2023.04.29 11:26,금융감독원 개소리,356,4,0
2023.04.29 11:25,손바닥으로 하늘을 가릴수는업읍니다,308,1,0
2023.04.29 11:22,현실적으로 역대 10배에서 50배사이 오른 종목,535,15,1
2023.04.29 11:11,네이버 공매도현황,521,12,0
2023.04.29 10:56,이기업 알짜네,397,8,1
2023.04.29 10:53,"유보율이 높다는 것은,",418,10,2
2023.04.29 10:52,화요일 반대매매다 찬티것들말 믿지말자,429,3,9
2023.04.29 10:52,속보 한일정상회담 7~8 서울,419,9,1
2023.04.29 10:48,만원때부터 주가조작 조심해라,391,2,2
2023.04.29 10:41,4만밑은 꿀매수기회 놓치지않는다,307,4,1
2023.04.29 10:40,유보율5천% 진짜였네ㅋㅋㅋ,463,6,0
2023.04.29 10:34,이거 물린 애들 어제 잘 잤노,415,1,2
2023.04.29 10:38,이거 물린 애들 어제 잘 잤노,191,4,0
2023.04.29 10:12,금융감독원 개소리,426,6,1
2023.04.29 10:00,금요일 동시호가에 신용 반대 물량 68만주 나와씁니다,587,18,4
2023.04.29 09:57,주가가 반토막.,461,8,1
2023.04.29 09:54,K 도박장.,397,6,1
2023.04.29 09:52,좋은얘기만 있는데,527,5,1
2023.04.29 10:31,좋은얘기만 있는데,187,4,0
2023.04.29 09:39,다음주 상한가 파티 ~,361,11,2
2023.04.29 09:37,[삭제된 게시물의 답글]난 10주나투자했다,192,1,1
2023.04.29 09:41,[삭제된 게시물의 답글]난 10주나투자했다,178,1,1
2023.04.29 09:16,혹시  거래정지될수도,715,2,7
2023.04.29 09:07,월요일 시초가에 텨라,501,3,4
2023.04.29 08:58,하종4인방중 재무 정보 선광이 제일좋아,578,21,0
2023.04.29 08:56,우량초품절주 이제 잠겼다,410,6,1
2023.04.29 08:52,◆.예상 합니다,363,6,0
2023.04.29 08:49,4.18부터 공매도 85000주,404,10,0
2023.04.29 08:27,-26퍼 매수 + 16퍼 매도,435,1,6
2023.04.29 08:17,앞으로 2주 정도 선광 좋아보인다 드가자 드가지 ㅋㅋㅋㅋ,493,14,1
2023.04.29 08:02,유통물량이 210만주인데 ?,535,2,2
2023.04.29 07:57,바닥은 끝,346,5,1
2023.04.29 07:53,호재 떳다 ㅡ월장  상가야제,628,18,2
2023.04.29 07:48,죽쒀 개준꼴,427,10,0
2023.04.29 07:42,◆.초 저평주,370,8,0
2023.04.29 07:14,화요일날 기대가된다,355,9,0
2023.04.29 07:00,수욜 신용잔고 0.5%예상!,590,13,1
2023.04.29 06:32,솔직 SG관련주라 정지먹을가걱정했다,489,10,4
2023.04.29 06:28,세방 신용 12.6%에서 1.26% 대폭줄었다~,484,10,0
2023.04.29 07:04,선광도 어제부로 반대매매로 모두 신용정리됨!,328,9,0
2023.04.29 06:10,하역작업    호재나왔다!!!,366,8,1
2023.04.29 04:30,"수출 규제 갈등 4년 만에...日, 韓 화이트리스트 재지정 논의 시작",511,23,1
2023.04.29 02:56,담대함의 수익이 크도다,583,12,1
2023.04.29 02:27,적정가  7만원 ,412,7,5
2023.04.29 02:19,하한가는 풀렸지만 시간 조정 온다,425,4,7
2023.04.29 01:54,[삭제된 게시물의 답글]이게다 계획된거다...,356,10,10
2023.04.29 01:11,숏커버링 할려면 7만은 가겠네,652,10,4
2023.04.29 00:52,회사와는 별 건이라 다행이다.,553,24,3
2023.04.29 01:06,회사와는 별 건이라 다행이다.,338,4,2
2023.04.29 00:50,선광 조심해라,893,8,19
2023.04.29 05:41,선광 조심해라,222,1,1
2023.04.29 00:30,공매세력 다주금 !!!!!,348,10,0
2023.04.29 00:27,47500원 물려따….,590,7,21
2023.04.29 02:00,[삭제된 게시물의 답글]윤석열이가 지 말잘못을 회피용 면피로 이용한거다. ,111,3,5
2023.04.28 23:29,화이트 리스트 해제가 선광에겐 호재인가?,585,1,7
2023.04.28 23:20,화이트 리스트 해제가,332,6,13
2023.04.28 23:23,화이트 리스트 해제가,188,3,2
2023.04.29 02:06,화이트 리스트 해제가,80,3,1
2023.04.28 23:18,2700뿐이못먹었는데,199,1,2
2023.04.28 22:58,아니 이걸 장투로 들고있는 사람이 있네..,703,8,16
2023.04.28 22:29,금융감독원 개소리,311,9,0
2023.04.28 22:18,기관 외인 빤스런 하는데,392,5,4
2023.04.28 22:04,일본 화이트리스크 (4년만에 규제완화),567,19,2
2023.04.28 21:57,여기 공모대들 죽었다,266,7,0
2023.04.28 21:53,오늘 30900원에 산놈,551,4,1
2023.04.28 21:51,오늘 대량거래량은 어디서 나왔나요?,752,19,1
2023.04.28 21:49,다음주 장시작후 10시에,623,9,12
2023.04.28 21:48,주가 조작 놀이터...,199,3,2
2023.04.28 21:47,근데 왜 이렇게 희망에 부풀어있음??ㅋㅋ,223,5,2
2023.04.28 21:46,형들~나 몰빵했는데,244,5,3
2023.04.28 21:41,단기 반등,238,4,5
2023.04.28 21:36,힘드시겠지만 현실적으로 말씀드리겠습니다,426,2,7
2023.04.28 21:49,힘드시겠지만 현실적으로 말씀드리겠습니다,127,3,0
2023.04.28 21:35,불나방 개미들 어쩌나 화요일 두렵다,354,6,6
2023.04.28 21:34,임창정이 부릅니다,278,5,4
2023.04.28 21:40,임창정이 부릅니다,143,2,2
2023.04.28 21:25,에코프로 6만원대사서 70만원대에 판사람이 승자,480,1,1
2023.04.28 21:22,공포 vs 환희 ,220,9,2
2023.04.28 21:12,형들 지랄하고 자빠졌네. 지랄동생 왔다~ㅎ,302,6,1
2023.04.28 21:07,형들 하한가4방맞은건 슬프지만,287,5,3
2023.04.28 20:57,무증관련,265,3,6
2023.04.28 20:52,선광은 화이트리스트 최고 수혜는 확실하다,334,9,6
2023.04.28 20:47,주가조작의혹없는종목,331,11,0
2023.04.28 20:47,호구,167,3,4
2023.04.28 20:44,평단 44000 탈출가능?,357,7,2
2023.04.28 20:35,6000원 짜리를,279,3,5
2023.04.28 20:30,하따맞은5종목매출순익재무최고종목!!!!,580,13,3
2023.04.28 20:25,일본 화이트리스트 해제되면 선광호재 아닌가?,519,13,0
